Temperature,Year,Month,Country,ISO3
4.51682, 1912, Feb, Afghanistan, AFG
6.97458, 1912, Mar, Afghanistan, AFG
13.4259, 1912, Apr, Afghanistan, AFG
17.8097, 1912, May, Afghanistan, AFG
23.4667, 1912, Jun, Afghanistan, AFG
25.6621, 1912, Jul, Afghanistan, AFG
23.0913, 1912, Aug, Afghanistan, AFG
17.2516, 1912, Sep, Afghanistan, AFG
14.0555, 1912, Oct, Afghanistan, AFG
6.19291, 1912, Nov, Afghanistan, AFG
1.95412, 1912, Dec, Afghanistan, AFG
1.78683, 1913, Jan, Afghanistan, AFG
0.31869, 1913, Feb, Afghanistan, AFG
4.81165, 1913, Mar, Afghanistan, AFG
11.2499, 1913, Apr, Afghanistan, AFG
19.3722, 1913, May, Afghanistan, AFG
22.7504, 1913, Jun, Afghanistan, AFG
25.8507, 1913, Jul, Afghanistan, AFG
23.1671, 1913, Aug, Afghanistan, AFG
18.889, 1913, Sep, Afghanistan, AFG
13.3766, 1913, Oct, Afghanistan, AFG
6.9908, 1913, Nov, Afghanistan, AFG
3.99676, 1913, Dec, Afghanistan, AFG
4.26484, 1914, Jan, Afghanistan, AFG
1.95483, 1914, Feb, Afghanistan, AFG
7.83049, 1914, Mar, Afghanistan, AFG
13.4463, 1914, Apr, Afghanistan, AFG
18.1807, 1914, May, Afghanistan, AFG
25.0416, 1914, Jun, Afghanistan, AFG
25.4941, 1914, Jul, Afghanistan, AFG
23.853, 1914, Aug, Afghanistan, AFG
20.2242, 1914, Sep, Afghanistan, AFG
13.3696, 1914, Oct, Afghanistan, AFG
7.29, 1914, Nov, Afghanistan, AFG
0.16563, 1914, Dec, Afghanistan, AFG
2.17716, 1915, Jan, Afghanistan, AFG
1.73076, 1915, Feb, Afghanistan, AFG
11.0812, 1915, Mar, Afghanistan, AFG
13.0311, 1915, Apr, Afghanistan, AFG
20.6628, 1915, May, Afghanistan, AFG
24.0457, 1915, Jun, Afghanistan, AFG
24.7547, 1915, Jul, Afghanistan, AFG
25.1417, 1915, Aug, Afghanistan, AFG
20.8041, 1915, Sep, Afghanistan, AFG
13.2896, 1915, Oct, Afghanistan, AFG
8.61782, 1915, Nov, Afghanistan, AFG
3.55279, 1915, Dec, Afghanistan, AFG
2.21516, 1916, Jan, Afghanistan, AFG
0.16968, 1916, Feb, Afghanistan, AFG
7.9499, 1916, Mar, Afghanistan, AFG
13.765, 1916, Apr, Afghanistan, AFG
17.9535, 1916, May, Afghanistan, AFG
21.5771, 1916, Jun, Afghanistan, AFG
24.8579, 1916, Jul, Afghanistan, AFG
25.2811, 1916, Aug, Afghanistan, AFG
19.0772, 1916, Sep, Afghanistan, AFG
11.8959, 1916, Oct, Afghanistan, AFG
3.06921, 1916, Nov, Afghanistan, AFG
2.21216, 1916, Dec, Afghanistan, AFG
3.66533, 1917, Jan, Afghanistan, AFG
5.1662, 1917, Feb, Afghanistan, AFG
7.6072, 1917, Mar, Afghanistan, AFG
13.3005, 1917, Apr, Afghanistan, AFG
20.0134, 1917, May, Afghanistan, AFG
22.718, 1917, Jun, Afghanistan, AFG
24.6802, 1917, Jul, Afghanistan, AFG
23.6763, 1917, Aug, Afghanistan, AFG
18.5874, 1917, Sep, Afghanistan, AFG
11.4491, 1917, Oct, Afghanistan, AFG
5.55267, 1917, Nov, Afghanistan, AFG
1.0589, 1917, Dec, Afghanistan, AFG
0.11596, 1918, Jan, Afghanistan, AFG
2.2606, 1918, Feb, Afghanistan, AFG
5.70592, 1918, Mar, Afghanistan, AFG
10.7685, 1918, Apr, Afghanistan, AFG
19.0731, 1918, May, Afghanistan, AFG
22.4332, 1918, Jun, Afghanistan, AFG
25.5029, 1918, Jul, Afghanistan, AFG
23.5825, 1918, Aug, Afghanistan, AFG
18.7125, 1918, Sep, Afghanistan, AFG
12.9749, 1918, Oct, Afghanistan, AFG
5.47625, 1918, Nov, Afghanistan, AFG
-0.0874, 1918, Dec, Afghanistan, AFG
-2.424, 1919, Jan, Afghanistan, AFG
0.86878, 1919, Feb, Afghanistan, AFG
6.30234, 1919, Mar, Afghanistan, AFG
13.188, 1919, Apr, Afghanistan, AFG
17.0163, 1919, May, Afghanistan, AFG
23.2106, 1919, Jun, Afghanistan, AFG
25.3194, 1919, Jul, Afghanistan, AFG
23.5375, 1919, Aug, Afghanistan, AFG
17.5599, 1919, Sep, Afghanistan, AFG
12.6696, 1919, Oct, Afghanistan, AFG
6.52312, 1919, Nov, Afghanistan, AFG
2.09914, 1919, Dec, Afghanistan, AFG
1.24201, 1920, Jan, Afghanistan, AFG
-1.5271, 1920, Feb, Afghanistan, AFG
7.17823, 1920, Mar, Afghanistan, AFG
10.5586, 1920, Apr, Afghanistan, AFG
15.8633, 1920, May, Afghanistan, AFG
21.8826, 1920, Jun, Afghanistan, AFG
24.2997, 1920, Jul, Afghanistan, AFG
22.8483, 1920, Aug, Afghanistan, AFG
19.1789, 1920, Sep, Afghanistan, AFG
13.7004, 1920, Oct, Afghanistan, AFG
4.75076, 1920, Nov, Afghanistan, AFG
-1.193, 1920, Dec, Afghanistan, AFG
0.58892, 1921, Jan, Afghanistan, AFG
1.32141, 1921, Feb, Afghanistan, AFG
6.04069, 1921, Mar, Afghanistan, AFG
14.2156, 1921, Apr, Afghanistan, AFG
17.0127, 1921, May, Afghanistan, AFG
22.3635, 1921, Jun, Afghanistan, AFG
25.2069, 1921, Jul, Afghanistan, AFG
22.3374, 1921, Aug, Afghanistan, AFG
18.1554, 1921, Sep, Afghanistan, AFG
12.6434, 1921, Oct, Afghanistan, AFG
6.57691, 1921, Nov, Afghanistan, AFG
3.23899, 1921, Dec, Afghanistan, AFG
1.50089, 1922, Jan, Afghanistan, AFG
2.13586, 1922, Feb, Afghanistan, AFG
8.02902, 1922, Mar, Afghanistan, AFG
13.6453, 1922, Apr, Afghanistan, AFG
17.5131, 1922, May, Afghanistan, AFG
22.6172, 1922, Jun, Afghanistan, AFG
24.9335, 1922, Jul, Afghanistan, AFG
23.4969, 1922, Aug, Afghanistan, AFG
18.9098, 1922, Sep, Afghanistan, AFG
13.1874, 1922, Oct, Afghanistan, AFG
7.64299, 1922, Nov, Afghanistan, AFG
3.44298, 1922, Dec, Afghanistan, AFG
0.27177, 1923, Jan, Afghanistan, AFG
1.86322, 1923, Feb, Afghanistan, AFG
7.88737, 1923, Mar, Afghanistan, AFG
12.0219, 1923, Apr, Afghanistan, AFG
17.227, 1923, May, Afghanistan, AFG
22.8445, 1923, Jun, Afghanistan, AFG
23.8005, 1923, Jul, Afghanistan, AFG
23.8662, 1923, Aug, Afghanistan, AFG
16.5319, 1923, Sep, Afghanistan, AFG
12.3703, 1923, Oct, Afghanistan, AFG
5.09865, 1923, Nov, Afghanistan, AFG
0.25934, 1923, Dec, Afghanistan, AFG
0.60776, 1924, Jan, Afghanistan, AFG
2.38092, 1924, Feb, Afghanistan, AFG
8.05032, 1924, Mar, Afghanistan, AFG
12.4283, 1924, Apr, Afghanistan, AFG
15.1114, 1924, May, Afghanistan, AFG
21.83, 1924, Jun, Afghanistan, AFG
24.9305, 1924, Jul, Afghanistan, AFG
23.7812, 1924, Aug, Afghanistan, AFG
17.7845, 1924, Sep, Afghanistan, AFG
12.8494, 1924, Oct, Afghanistan, AFG
6.24679, 1924, Nov, Afghanistan, AFG
1.1283, 1924, Dec, Afghanistan, AFG
-2.1113, 1925, Jan, Afghanistan, AFG
-1.2167, 1925, Feb, Afghanistan, AFG
9.17466, 1925, Mar, Afghanistan, AFG
13.7892, 1925, Apr, Afghanistan, AFG
18.751, 1925, May, Afghanistan, AFG
23.5608, 1925, Jun, Afghanistan, AFG
25.4384, 1925, Jul, Afghanistan, AFG
23.6203, 1925, Aug, Afghanistan, AFG
18.9698, 1925, Sep, Afghanistan, AFG
13.7362, 1925, Oct, Afghanistan, AFG
6.12968, 1925, Nov, Afghanistan, AFG
4.87732, 1925, Dec, Afghanistan, AFG
1.63806, 1926, Jan, Afghanistan, AFG
3.49584, 1926, Feb, Afghanistan, AFG
7.56725, 1926, Mar, Afghanistan, AFG
10.4079, 1926, Apr, Afghanistan, AFG
18.1209, 1926, May, Afghanistan, AFG
22.3607, 1926, Jun, Afghanistan, AFG
24.899, 1926, Jul, Afghanistan, AFG
25.0404, 1926, Aug, Afghanistan, AFG
19.5919, 1926, Sep, Afghanistan, AFG
12.7845, 1926, Oct, Afghanistan, AFG
3.34227, 1926, Nov, Afghanistan, AFG
3.17395, 1926, Dec, Afghanistan, AFG
-2.055, 1927, Jan, Afghanistan, AFG
0.69614, 1927, Feb, Afghanistan, AFG
5.23632, 1927, Mar, Afghanistan, AFG
13.3358, 1927, Apr, Afghanistan, AFG
18.331, 1927, May, Afghanistan, AFG
23.0598, 1927, Jun, Afghanistan, AFG
25.9664, 1927, Jul, Afghanistan, AFG
24.2059, 1927, Aug, Afghanistan, AFG
19.3315, 1927, Sep, Afghanistan, AFG
15.0826, 1927, Oct, Afghanistan, AFG
6.45339, 1927, Nov, Afghanistan, AFG
2.8792, 1927, Dec, Afghanistan, AFG
-1.7616, 1928, Jan, Afghanistan, AFG
2.05356, 1928, Feb, Afghanistan, AFG
4.67113, 1928, Mar, Afghanistan, AFG
13.5359, 1928, Apr, Afghanistan, AFG
18.8731, 1928, May, Afghanistan, AFG
23.1555, 1928, Jun, Afghanistan, AFG
23.9512, 1928, Jul, Afghanistan, AFG
22.4147, 1928, Aug, Afghanistan, AFG
17.37, 1928, Sep, Afghanistan, AFG
12.7152, 1928, Oct, Afghanistan, AFG
7.17005, 1928, Nov, Afghanistan, AFG
1.52405, 1928, Dec, Afghanistan, AFG
-3.6137, 1929, Jan, Afghanistan, AFG
0.04578, 1929, Feb, Afghanistan, AFG
8.4222, 1929, Mar, Afghanistan, AFG
15.1786, 1929, Apr, Afghanistan, AFG
17.843, 1929, May, Afghanistan, AFG
22.2441, 1929, Jun, Afghanistan, AFG
24.4163, 1929, Jul, Afghanistan, AFG
22.6401, 1929, Aug, Afghanistan, AFG
20.1429, 1929, Sep, Afghanistan, AFG
11.7487, 1929, Oct, Afghanistan, AFG
5.92879, 1929, Nov, Afghanistan, AFG
-2.6765, 1929, Dec, Afghanistan, AFG
-5.4983, 1930, Jan, Afghanistan, AFG
-0.3035, 1930, Feb, Afghanistan, AFG
6.88796, 1930, Mar, Afghanistan, AFG
11.7176, 1930, Apr, Afghanistan, AFG
17.9507, 1930, May, Afghanistan, AFG
23.3231, 1930, Jun, Afghanistan, AFG
25.7122, 1930, Jul, Afghanistan, AFG
